   1: UNIQUE_HIDEOUT                                                   : Hideout Construction Kit
   2: T1_FARM_CARROT_SEED                                              : Carrot Seeds
   3: T2_FARM_BEAN_SEED                                                : Bean Seeds
   4: T3_FARM_WHEAT_SEED                                               : Wheat Seeds
   5: T4_FARM_TURNIP_SEED                                              : Turnip Seeds
   6: T5_FARM_CABBAGE_SEED                                             : Cabbage Seeds
   7: T6_FARM_POTATO_SEED                                              : Potato Seeds
   8: T7_FARM_CORN_SEED                                                : Corn Seeds
   9: T8_FARM_PUMPKIN_SEED                                             : Pumpkin Seeds
  10: T2_FARM_AGARIC_SEED                                              : Arcane Agaric Seeds
  11: T3_FARM_COMFREY_SEED                                             : Brightleaf Comfrey Seeds
  12: T4_FARM_BURDOCK_SEED                                             : Crenellated Burdock Seeds
  13: T5_FARM_TEASEL_SEED                                              : Dragon Teasel Seeds
  14: T6_FARM_FOXGLOVE_SEED                                            : Elusive Foxglove Seeds
  15: T7_FARM_MULLEIN_SEED                                             : Firetouched Mullein Seeds
  16: T8_FARM_YARROW_SEED                                              : Ghoul Yarrow Seeds
  17: T3_FARM_OX_BABY                                                  : Journeyman's Ox Calf
  18: T4_FARM_OX_BABY                                                  : Adept's Ox Calf
  19: T5_FARM_OX_BABY                                                  : Expert's Ox Calf
  20: T6_FARM_OX_BABY                                                  : Master's Ox Calf
  21: T7_FARM_OX_BABY                                                  : Grandmaster's Ox Calf
  22: T8_FARM_OX_BABY                                                  : Elder's Ox Calf
  23: T3_FARM_OX_GROWN                                                 : Journeyman's Ox
  24: T4_FARM_OX_GROWN                                                 : Adept's Ox
  25: T5_FARM_OX_GROWN                                                 : Expert's Ox
  26: T6_FARM_OX_GROWN                                                 : Master's Ox
  27: T7_FARM_OX_GROWN                                                 : Grandmaster's Ox
  28: T8_FARM_OX_GROWN                                                 : Elder's Ox
  29: T3_FARM_HORSE_BABY                                               : Journeyman's Foal
  30: T4_FARM_HORSE_BABY                                               : Adept's Foal
  31: T5_FARM_HORSE_BABY                                               : Expert's Foal
  32: T6_FARM_HORSE_BABY                                               : Master's Foal
  33: T7_FARM_HORSE_BABY                                               : Grandmaster's Foal
  34: T8_FARM_HORSE_BABY                                               : Elder's Foal
  35: T3_FARM_HORSE_GROWN                                              : Journeyman's Horse
  36: T4_FARM_HORSE_GROWN                                              : Adept's Horse
  37: T5_FARM_HORSE_GROWN                                              : Expert's Horse
  38: T6_FARM_HORSE_GROWN                                              : Master's Horse
  39: T7_FARM_HORSE_GROWN                                              : Grandmaster's Horse
  40: T8_FARM_HORSE_GROWN                                              : Elder's Horse
  41: T6_FARM_DIREWOLF_BABY                                            : Direwolf Pup
  42: T7_FARM_DIREBOAR_BABY                                            : Direboar Piglet
  43: T8_FARM_DIREBEAR_BABY                                            : Direbear Cub
  44: T7_FARM_SWAMPDRAGON_BABY                                         : Swamp Dragon Pup
  45: T8_FARM_MAMMOTH_BABY                                             : Mammoth Calf
  46: T5_FARM_COUGAR_BABY                                              : Swiftclaw Cub
  47: T8_FARM_DIREWOLF_BABY                                            : Ghostwolf Pup
  48: T4_FARM_GIANTSTAG_BABY                                           : Adept's Fawn
  49: T6_FARM_GIANTSTAG_BABY                                           : Master's Fawn
  50: T5_FARM_MOABIRD_FW_BRIDGEWATCH_BABY                              : Baby Moabird
  51: T5_FARM_DIREBEAR_FW_FORTSTERLING_BABY                            : Winter Bear Cub
  52: T5_FARM_DIREBOAR_FW_LYMHURST_BABY                                : Wild Boarlet
  53: T5_FARM_RAM_FW_MARTLOCK_BABY                                     : Bighorn Ram Lamb
  54: T5_FARM_SWAMPDRAGON_FW_THETFORD_BABY                             : Baby Swamp Salamander
  55: T5_FARM_GREYWOLF_FW_CAERLEON_BABY                                : Caerleon Greywolf Pup
  56: T8_FARM_MOABIRD_FW_BRIDGEWATCH_BABY                              : Baby Elite Terrorbird
  57: T8_FARM_DIREBEAR_FW_FORTSTERLING_BABY                            : Elite Winterbear Cub
  58: T8_FARM_DIREBOAR_FW_LYMHURST_BABY                                : Wild Elite Boarlet
  59: T8_FARM_RAM_FW_MARTLOCK_BABY                                     : Elite Bighorn Ram Lamb
